P1,P2,P3,P4
-8.15,0.65,8.189,12.657
-6.2010000000000005,0.335,8.189,12.933
-5.492000000000001,0.19699999999999998,8.051,12.795
-5.354,0.335,8.189,12.933
-5.354,0.335,8.189,12.933
-5.492000000000001,0.787,8.307,12.795
-5.925,0.335,8.189,12.933
-5.354,0.335,8.189,12.933
-5.492000000000001,0.49200000000000005,8.051,12.795
-5.354,1.22,8.189,12.933
-5.354,0.335,8.189,14.626
-5.492000000000001,0.49200000000000005,8.307,13.071
-5.354,0.335,8.189,12.933
-5.492000000000001,0.49200000000000005,8.307,13.071
-6.063,0.49200000000000005,8.307,12.815
-5.354,0.335,8.189,12.933
-5.354,0.335,8.189,12.933
-5.492000000000001,0.49200000000000005,8.307,12.795
-6.496,0.335,8.189,12.933
-5.492000000000001,0.49200000000000005,7.421,13.366
-5.492000000000001,0.49200000000000005,8.327,13.071
-5.65,0.335,8.189,12.933
-5.492000000000001,0.49200000000000005,8.051,13.071
-5.492000000000001,0.49200000000000005,8.051,13.071
-5.65,0.335,8.189,12.933
-5.492000000000001,0.49200000000000005,8.327,13.071
-5.492000000000001,-0.098,8.327,13.071
-5.354,0.335,8.189,12.933
-5.492000000000001,0.49200000000000005,8.327,13.071
-5.2170000000000005,0.335,8.327,13.091
-5.354,1.693,8.189,13.504000000000001
-5.2170000000000005,0.49200000000000005,8.327,13.091
-5.354,0.63,8.189,12.953
-5.354,0.335,8.189,13.228
-5.2170000000000005,0.49200000000000005,8.327,13.366
-5.354,0.63,8.189,16.614
-5.354,1.6340000000000001,8.189,13.228
-5.2170000000000005,0.49200000000000005,8.327,13.091
-5.354,0.63,8.189,13.228
-5.354,1.22,8.189,13.228
-5.2170000000000005,0.49200000000000005,8.327,15.61
-5.354,1.22,8.465,12.933
-5.354,0.335,8.189,12.953
-5.2170000000000005,0.49200000000000005,8.327,13.071
-5.079,0.335,8.189,12.953
-5.354,0.63,8.465,13.228
-5.2170000000000005,0.49200000000000005,8.327,13.642000000000001
-5.354,1.22,8.465,12.953
-5.354,0.335,8.465,12.953
-5.2170000000000005,0.49200000000000005,8.327,13.091
-5.354,0.63,8.465,13.504000000000001
-5.354,0.63,8.465,12.953
-5.2170000000000005,0.49200000000000005,8.327,13.091
-5.354,0.945,8.465,13.504000000000001
-5.2170000000000005,0.49200000000000005,8.327,13.366
-5.2170000000000005,1.083,8.327,13.091
-5.354,0.63,8.465,12.953
-5.2170000000000005,0.49200000000000005,8.327,14.764000000000001
-5.492000000000001,0.49200000000000005,8.327,13.091
-5.354,0.335,8.189,12.953
-5.2170000000000005,0.315,8.327,13.091
-5.2170000000000005,0.49200000000000005,8.327,12.815
-5.354,0.335,8.465,12.953
-5.2170000000000005,0.49200000000000005,8.327,12.815
-5.2170000000000005,0.49200000000000005,8.327,12.815
-5.354,0.335,8.465,12.953
-5.2170000000000005,0.49200000000000005,8.327,13.091
-5.2170000000000005,0.49200000000000005,8.327,12.815
-5.354,0.63,8.189,12.953
-5.492000000000001,0.49200000000000005,8.327,12.815
-7.48,0.49200000000000005,8.327,12.815
-5.354,0.335,8.189,12.953
-5.2170000000000005,0.49200000000000005,8.327,12.815
-5.354,0.945,8.189,12.953
-5.354,0.335,8.189,12.953
-5.2170000000000005,0.49200000000000005,8.327,12.815
-5.354,0.335,8.189,12.953
-5.354,0.335,8.189,12.953
-5.2170000000000005,0.9059999999999999,7.52,12.815
-5.354,0.157,8.189,12.953
-5.354,0.335,8.189,16.614
-5.492000000000001,0.49200000000000005,8.051,12.815
-5.2170000000000005,0.49200000000000005,8.051,12.815
-5.354,0.335,8.189,12.953
-5.2170000000000005,0.49200000000000005,8.051,12.815
-5.354,0.335,8.189,12.953
-5.354,0.945,8.189,12.953
-5.787000000000001,0.19699999999999998,8.327,12.815
-5.354,0.335,8.189,12.953
-5.354,0.335,8.189,12.953
-7.756,0.49200000000000005,8.307,12.815
-5.354,0.157,8.189,12.953
-5.354,0.335,6.693,13.799000000000001
-5.2170000000000005,0.49200000000000005,8.051,12.815
-5.354,0.335,8.189,12.953
-5.787000000000001,0.49200000000000005,8.051,12.815
-5.2170000000000005,0.49200000000000005,8.327,12.815
-5.354,0.335,8.189,12.953
-5.492000000000001,0.49200000000000005,8.051,12.815
-5.492000000000001,0.49200000000000005,8.307,13.091
-5.354,0.335,8.189,12.953
-5.492000000000001,0.49200000000000005,8.051,13.366
-5.492000000000001,0.49200000000000005,8.051,13.091
-5.354,0.335,8.189,12.953
-5.492000000000001,0.49200000000000005,7.795,13.091
-5.492000000000001,0.49200000000000005,8.051,12.815
-5.354,0.335,8.189,12.953
-5.492000000000001,0.49200000000000005,8.307,12.815
-5.492000000000001,0.49200000000000005,8.051,13.091
-5.354,0.335,8.189,12.677
-5.492000000000001,0.49200000000000005,8.051,12.815
-5.492000000000001,0.49200000000000005,8.051,12.815
-5.354,0.335,8.189,12.677
-5.492000000000001,0.19699999999999998,8.051,12.815
-5.492000000000001,0.19699999999999998,8.051,12.815
-5.354,0.335,8.189,12.657
-5.492000000000001,1.3780000000000001,8.307,13.091
-5.354,0.295,8.189,12.657
-5.354,0.335,8.189,12.657
-5.787000000000001,0.19699999999999998,7.224,13.091
-5.354,0.335,8.189,12.657
-5.354,0.335,8.189,12.953
-5.492000000000001,0.49200000000000005,8.051,12.815
-5.354,0.335,8.189,12.953
-5.354,0.335,8.189,12.953
-5.2170000000000005,0.19699999999999998,8.051,12.815
-5.354,0.512,8.189,12.657
-8.169,0.335,8.189,12.657
-5.492000000000001,0.19699999999999998,8.051,12.815
-5.354,0.335,8.189,12.657
-5.354,0.335,8.189,12.657
-8.878,0.19699999999999998,8.051,12.815
-5.354,0.335,8.189,12.657
-5.354,0.335,8.189,12.657
-5.2170000000000005,0.19699999999999998,6.87,12.815
-5.354,0.335,7.067,12.657
-5.2170000000000005,1.083,8.051,12.815
-5.492000000000001,0.19699999999999998,8.051,12.815
-9.311,0.335,8.189,12.657
-8.602,0.19699999999999998,8.051,12.815
-5.492000000000001,0.19699999999999998,8.051,12.815
-5.354,0.335,8.189,12.657
-6.063,0.49200000000000005,8.051,12.815
-5.492000000000001,0.49200000000000005,8.051,15.335
-5.354,0.945,8.189,12.657
-5.492000000000001,0.49200000000000005,8.051,12.815
-5.492000000000001,0.49200000000000005,8.051,12.815
-5.354,0.945,8.189,12.657
-5.492000000000001,0.49200000000000005,8.051,12.815
-5.492000000000001,0.49200000000000005,8.051,12.815
-5.354,0.335,8.189,12.657
-5.492000000000001,0.49200000000000005,8.051,12.815
-5.492000000000001,0.49200000000000005,8.051,12.815
-5.354,0.335,8.189,12.657
-5.492000000000001,0.19699999999999998,8.051,12.815
-5.492000000000001,0.19699999999999998,8.051,14.764000000000001
-5.354,0.335,8.189,12.657
-5.2170000000000005,0.49200000000000005,8.051,12.815
-5.354,0.335,8.189,12.657
-5.354,0.335,8.189,12.657
-5.2170000000000005,0.49200000000000005,6.928999999999999,12.815
-5.354,0.335,8.189,12.657
-5.354,0.335,8.189,12.657
-5.492000000000001,0.49200000000000005,8.051,12.815
-5.354,0.335,8.189,12.657
-5.354,0.335,8.189,12.657
-5.2170000000000005,1.083,5.807,12.815
-5.354,0.335,8.189,12.657
-7.047000000000001,0.335,8.189,12.657
-5.2170000000000005,0.49200000000000005,6.319,12.815
-5.354,0.335,8.189,13.799000000000001
-5.354,1.024,5.768,12.657
-5.492000000000001,0.49200000000000005,8.051,12.815
-5.925,0.335,8.189,12.657
-5.354,0.335,8.189,12.657
-5.2170000000000005,0.49200000000000005,8.051,12.815
-5.354,0.335,8.189,12.953
-5.2170000000000005,0.49200000000000005,8.327,12.815
-5.2170000000000005,0.49200000000000005,8.307,12.815
-6.496,0.335,7.362,12.953
-5.2170000000000005,0.49200000000000005,8.327,12.815
-5.2170000000000005,1.083,8.327,12.815
-5.354,0.335,8.189,12.657
-6.063,0.49200000000000005,8.327,12.815
-5.2170000000000005,0.49200000000000005,7.343,13.091
-5.354,0.335,8.189,12.953
-5.2170000000000005,0.787,7.343,13.091
-5.2170000000000005,0.49200000000000005,5.492000000000001,13.091
-5.354,0.63,8.189,12.953
-5.2170000000000005,0.49200000000000005,8.327,13.091
-5.2170000000000005,0.49200000000000005,6.004,12.815
-5.079,0.138,8.189,13.228
-5.2170000000000005,0.49200000000000005,8.327,13.091
-5.2170000000000005,0.49200000000000005,8.327,13.091
-5.079,0.63,8.189,12.953
-5.2170000000000005,0.49200000000000005,8.327,12.815
-5.2170000000000005,0.49200000000000005,7.263999999999999,12.815
-5.079,0.63,8.189,12.953
-5.2170000000000005,0.49200000000000005,8.327,12.815
-5.079,0.63,8.189,12.953
-5.079,0.63,8.189,13.228
-5.2170000000000005,0.49200000000000005,8.327,12.815
-5.2170000000000005,0.49200000000000005,8.327,16.457
-5.079,0.63,8.484,12.953
-5.2170000000000005,0.49200000000000005,8.327,13.366
-5.65,0.63,7.657,12.953
-5.079,0.945,8.209,13.504000000000001
-5.2170000000000005,0.49200000000000005,8.327,12.815
-5.079,0.63,8.484,12.953
-5.079,0.63,8.209,13.228
-5.2170000000000005,0.49200000000000005,8.327,13.091
-5.079,0.63,8.209,13.228
-5.079,0.63,8.209,13.228
-5.2170000000000005,0.49200000000000005,8.327,13.091
-5.079,0.63,8.209,13.228
-5.079,0.63,8.209,13.504000000000001
-5.492000000000001,0.49200000000000005,8.327,13.366
-5.079,0.63,8.209,12.953
-5.079,0.63,8.484,12.953
-5.2170000000000005,0.65,8.327,13.366
-5.079,0.63,7.539,13.228
-4.941,0.49200000000000005,8.327,12.815
-5.2170000000000005,0.49200000000000005,8.327,13.366
-5.079,0.63,8.189,13.504000000000001
-5.2170000000000005,0.49200000000000005,8.327,13.091
-5.2170000000000005,0.49200000000000005,8.327,13.091
-5.079,0.63,8.189,12.953
-5.2170000000000005,0.49200000000000005,8.327,13.366
-5.2170000000000005,0.768,8.327,13.366
-5.079,0.63,8.484,13.228
-5.2170000000000005,1.3780000000000001,8.327,13.091
-4.941,0.49200000000000005,8.327,13.091
-5.079,0.63,7.933,13.228
-5.2170000000000005,0.768,8.327,13.091
-4.941,0.768,8.327,13.091
-5.079,0.63,7.303,13.228
-4.941,0.768,8.327,13.091
-4.941,0.768,8.327,13.091
-5.079,0.63,8.484,13.228
-4.941,0.295,8.327,13.366
-5.079,0.63,8.484,13.228
-5.079,0.63,8.209,13.228
-5.2170000000000005,0.768,8.327,13.366
-6.2010000000000005,0.63,8.209,13.228
-5.354,0.63,7.992000000000001,13.228
-5.2170000000000005,0.768,8.327,12.244000000000002
-5.079,0.63,8.484,12.382
-5.354,0.63,8.209,13.228
-4.941,0.768,8.327,13.091
-5.079,0.63,8.484,13.228
-5.079,0.63,8.484,12.953
-5.2170000000000005,0.768,8.327,13.091
-5.079,0.63,7.461,15.197000000000001
-5.079,0.63,8.484,12.953
-5.2170000000000005,0.768,8.327,13.366
-5.079,1.22,8.484,13.228
-5.354,0.63,6.732,13.228
-5.2170000000000005,0.49200000000000005,8.327,13.642000000000001
-5.079,0.63,8.209,12.953
-5.079,0.63,8.209,12.953
-5.2170000000000005,0.49200000000000005,8.327,12.815
-5.079,0.63,8.209,12.953
-5.2170000000000005,1.319,8.327,12.815
-5.2170000000000005,0.768,8.327,12.815
-5.079,0.63,8.484,12.953
-5.2170000000000005,0.49200000000000005,7.402,12.815
-5.2170000000000005,0.49200000000000005,8.327,12.815
-5.079,0.63,8.484,12.953
-5.2170000000000005,0.768,8.327,12.815
-5.2170000000000005,0.768,8.327,13.091
-5.079,0.63,8.209,12.953
-5.2170000000000005,0.768,8.327,13.091
-5.2170000000000005,0.768,7.362,13.091
-5.079,0.63,6.142,12.953
-8.327,0.49200000000000005,8.327,13.091
-5.2170000000000005,0.49200000000000005,8.327,13.091
-5.079,0.63,8.484,12.953
-5.2170000000000005,0.49200000000000005,8.327,13.091
-5.2170000000000005,0.276,7.382000000000001,15.059000000000001
-5.079,0.63,7.205,12.953
-5.2170000000000005,-0.669,7.52,12.815
-5.079,0.63,7.657,12.953
-5.925,0.63,8.209,12.953
-5.2170000000000005,0.49200000000000005,8.327,13.091
-5.2170000000000005,0.49200000000000005,8.327,14.764000000000001
-5.354,0.63,8.209,12.953
-5.2170000000000005,0.49200000000000005,8.327,12.815
-5.079,0.63,8.209,12.953
-5.079,0.63,8.484,12.953
-5.2170000000000005,0.49200000000000005,7.3229999999999995,13.661
-5.354,0.7090000000000001,8.484,12.953
-5.079,0.63,7.5,12.953
-5.787000000000001,0.49200000000000005,8.051,13.091
-5.079,0.63,8.484,12.953
-5.079,0.63,8.484,12.953
-5.2170000000000005,0.768,8.327,13.091
-5.079,0.63,8.209,12.953
-5.079,0.63,8.209,12.953
-5.2170000000000005,1.083,8.327,13.091
-5.079,0.925,8.209,12.953
-5.079,0.63,8.209,12.953
-5.2170000000000005,0.49200000000000005,8.327,12.815
-5.354,0.63,8.484,12.953
-5.2170000000000005,0.49200000000000005,8.327,12.815
-5.2170000000000005,0.276,8.327,12.815
-5.354,0.63,8.484,12.953
-5.2170000000000005,0.768,8.327,12.815
-5.2170000000000005,0.49200000000000005,8.327,15.079
-5.354,0.63,8.209,12.953
-5.492000000000001,0.49200000000000005,8.327,12.815
-5.2170000000000005,0.49200000000000005,8.327,13.091
-5.354,0.63,8.484,12.953
-5.2170000000000005,0.49200000000000005,8.327,13.091
-5.2170000000000005,0.49200000000000005,8.327,15.354000000000001
-5.354,0.63,7.736000000000001,12.953
-5.787000000000001,1.083,8.327,12.815
-5.2170000000000005,1.083,8.327,12.815
-5.354,0.63,8.484,12.953
-5.2170000000000005,0.49200000000000005,8.327,12.815
-5.2170000000000005,0.61,8.327,12.815
-5.354,0.63,8.209,12.953
-5.2170000000000005,0.49200000000000005,7.2829999999999995,13.091
-5.492000000000001,0.49200000000000005,8.327,13.091
-5.354,0.63,8.209,13.248
-5.492000000000001,0.49200000000000005,8.327,13.091
-5.925,0.63,8.209,12.953
-5.354,0.63,8.209,13.248
-5.2170000000000005,0.49200000000000005,8.327,13.386
-5.354,0.63,8.209,12.953
-6.2010000000000005,0.63,8.209,13.524000000000001
-5.492000000000001,0.49200000000000005,8.327,13.386
-5.354,0.63,8.209,13.524000000000001
-6.496,0.63,8.209,13.524000000000001
-5.2170000000000005,0.49200000000000005,8.327,13.386
-5.354,0.63,8.484,12.953
-5.354,0.63,8.209,12.953
-5.2170000000000005,0.768,8.327,13.091
-5.354,0.63,8.209,13.248
-5.65,0.63,8.209,13.248
-5.2170000000000005,0.49200000000000005,8.327,13.091
-5.65,0.63,8.484,13.524000000000001
-5.079,0.63,8.484,13.524000000000001
-6.063,0.295,8.327,13.661
-5.079,0.63,8.209,12.953
-6.2010000000000005,0.63,8.209,12.953
-6.3389999999999995,0.768,8.327,13.091
-7.894,0.63,8.209,12.953
-5.2170000000000005,0.768,8.327,13.091
-5.492000000000001,0.49200000000000005,8.327,13.386
-5.925,0.63,8.484,12.953
-5.787000000000001,0.768,8.327,13.091
-5.2170000000000005,0.49200000000000005,8.327,13.091
-5.354,0.63,8.209,12.953
-8.327,0.551,8.327,13.091
-6.6339999999999995,0.768,8.327,13.661
-5.354,0.63,8.209,12.953
-5.492000000000001,0.768,6.22,13.386
-5.492000000000001,0.768,8.327,13.091
-5.65,0.63,8.484,12.953
-5.492000000000001,0.768,8.327,13.091
-5.2170000000000005,0.768,8.327,13.091
-5.354,0.63,8.484,12.953
-5.2170000000000005,0.768,7.795,13.091
-5.354,0.63,8.484,12.953
-5.354,0.63,8.484,12.953
-5.2170000000000005,0.768,8.327,13.091
-5.079,0.63,8.484,13.248
-5.079,1.2009999999999998,8.484,12.953
-5.787000000000001,0.768,8.327,13.091
-5.079,0.63,8.484,12.953
-5.079,0.63,8.484,12.953
-5.2170000000000005,0.768,8.327,13.091
-5.079,0.63,8.484,12.953
-5.079,0.63,8.484,12.953
-5.2170000000000005,0.768,8.327,13.091
-5.354,1.22,8.484,12.953
-5.079,0.63,8.484,12.953
-5.2170000000000005,0.768,6.772,13.091
-5.079,0.63,8.484,12.953
-5.079,0.63,8.484,12.953
-5.2170000000000005,1.3780000000000001,7.559,13.091
-5.354,1.043,8.484,13.248
-5.079,0.925,8.484,12.953
-5.2170000000000005,0.768,8.091000000000001,13.091
-5.079,0.925,8.484,12.953
-6.6339999999999995,0.669,8.346,13.091
-5.2170000000000005,0.768,8.346,13.091
-5.079,0.925,8.484,12.953
-4.941,0.768,8.346,13.091
-4.941,0.768,7.598,13.091
-4.803,0.925,8.484,13.504000000000001
-4.941,1.083,8.346,13.366
-4.941,0.768,8.622,13.366
-5.079,0.925,8.484,13.504000000000001
-4.941,0.768,8.602,13.366
-5.768,-1.555,8.327,15.61
-5.906000000000001,0.925,8.484,13.228
-8.012,0.768,8.327,13.366
-5.768,0.768,8.327,13.366
-5.906000000000001,0.925,8.484,13.228
-9.154,1.555,8.622,13.366
-6.042999999999999,0.768,8.622,13.642000000000001
-5.079,0.925,8.484,13.504000000000001
-5.768,0.768,8.602,13.366
-4.941,0.768,8.602,13.366
-5.906000000000001,0.925,8.484,13.504000000000001
-4.941,0.768,8.622,13.091
-5.059,0.925,8.484,13.228
-5.059,0.925,7.244,13.504000000000001
-5.197,0.768,8.602,13.642000000000001
-5.079,0.925,8.484,13.504000000000001
-5.354,0.925,8.484,13.504000000000001
-5.197,0.768,8.622,13.642000000000001
-5.079,0.925,8.484,13.228
-5.63,0.925,8.484,13.504000000000001
-5.197,0.768,8.622,13.642000000000001
-5.079,0.925,8.484,13.504000000000001
-5.906000000000001,0.925,8.484,13.228
-6.042999999999999,1.22,8.622,13.642000000000001
-5.906000000000001,0.925,8.484,13.228
-5.906000000000001,1.22,8.484,13.228
-4.941,1.22,8.622,13.366
-5.354,0.925,8.484,13.228
-5.079,0.925,8.484,13.228
-7.461,0.768,8.622,13.366
-5.079,0.925,8.484,13.228
-4.941,0.768,8.091000000000001,13.366
-4.941,0.768,8.622,13.366
-5.925,0.925,8.484,13.228
-4.941,0.768,8.622,13.366
-4.941,0.768,8.091000000000001,13.366
-5.079,1.22,8.484,13.228
-4.941,0.768,8.622,13.366
-4.941,0.768,8.622,13.366
-5.079,0.925,8.484,13.228
-4.941,0.768,8.602,13.366
-8.583,0.768,8.091000000000001,13.366
-5.65,0.925,7.579,13.228
-7.461,0.768,8.622,13.366
-4.941,1.575,8.602,13.366
-5.079,0.925,8.484,13.504000000000001
-4.941,0.768,8.622,13.366
-4.941,0.768,8.622,13.937000000000001
-7.874,0.925,8.484,13.799000000000001
-5.492000000000001,1.831,8.327,13.642000000000001
-9.154,0.768,8.327,13.366
-5.079,0.925,8.484,13.799000000000001
-5.2170000000000005,0.768,8.327,13.642000000000001
-5.079,0.925,8.484,13.799000000000001
-5.079,0.925,8.484,13.799000000000001
-5.2170000000000005,0.768,8.327,13.366
-5.079,0.925,7.598,14.35
-5.079,0.925,8.484,13.799000000000001
-5.2170000000000005,1.083,8.327,13.366
-5.079,0.925,8.484,13.799000000000001
-5.079,0.925,8.484,14.626
-4.941,0.768,8.327,13.366
-10.413,0.925,8.484,13.504000000000001
-5.079,0.925,8.484,13.799000000000001
-5.2170000000000005,1.043,8.327,13.366
-5.079,0.925,7.343,13.799000000000001
-5.354,0.925,8.484,13.504000000000001
-5.2170000000000005,0.768,8.327,13.366
-5.354,0.925,8.484,13.504000000000001
-5.079,0.925,8.484,13.504000000000001
-5.2170000000000005,0.768,7.736000000000001,13.366
-5.354,0.925,8.484,13.504000000000001
-6.063,0.768,8.327,15.905999999999999
-4.941,0.768,8.327,14.213
-5.079,0.925,8.484,13.504000000000001
-5.079,1.004,8.484,14.35
-5.492000000000001,1.083,8.327,13.366
-5.354,0.925,8.484,14.075
-5.2170000000000005,0.768,8.327,14.488
-5.2170000000000005,0.768,8.327,13.366
-5.079,0.925,8.484,13.504000000000001
-4.941,0.768,8.602,13.091
-4.941,0.768,7.795,13.091
-5.079,0.925,8.484,16.614
-4.941,1.083,8.327,14.488
-5.492000000000001,0.768,7.795,13.091
-5.354,0.925,8.484,13.504000000000001
-5.2170000000000005,0.768,8.327,13.642000000000001
-5.2170000000000005,0.768,8.327,13.366
-5.079,-0.531,8.484,13.228
-4.941,0.768,6.87,13.366
-5.079,0.748,8.484,14.075
-5.079,0.925,8.484,13.228
-5.2170000000000005,0.768,8.327,13.937000000000001
-5.079,0.63,8.484,13.799000000000001
-5.079,0.669,8.484,13.504000000000001
-4.941,0.768,8.327,13.091
-5.079,0.925,8.484,13.504000000000001
-5.079,0.925,8.484,13.799000000000001
-4.941,1.083,8.327,13.366
-5.079,0.925,8.484,14.626
-5.079,0.63,8.484,13.799000000000001
-5.2170000000000005,0.768,8.327,12.815
-5.2170000000000005,0.768,8.327,13.937000000000001
-5.079,1.22,8.484,14.075
-4.941,0.768,8.327,13.091
-5.079,0.925,8.484,15.748
-5.079,0.925,8.484,13.228
-4.941,0.768,8.327,13.366
-5.079,0.925,8.484,14.921
-5.079,0.925,7.657,13.228
-4.941,0.768,7.795,14.488
-5.079,0.925,7.952999999999999,13.504000000000001
-4.941,0.768,8.327,15.059000000000001
-4.941,0.768,8.327,13.642000000000001
-6.2010000000000005,0.925,7.303,13.228
-5.2170000000000005,0.768,8.327,16.732
-5.2170000000000005,0.8270000000000001,7.736000000000001,13.366
-5.079,0.925,8.484,14.626
-5.2170000000000005,0.768,6.928999999999999,13.642000000000001
-4.941,0.768,8.327,13.642000000000001
-5.354,0.925,8.484,13.504000000000001
-4.941,0.768,8.327,13.937000000000001
-4.941,0.768,6.928999999999999,13.937000000000001
-5.354,1.22,8.484,16.319000000000003
-4.941,0.965,8.327,13.937000000000001
-4.941,0.768,8.327,13.091
-4.803,0.925,7.067,13.228
-4.941,0.768,8.327,13.091
-4.941,0.768,8.327,13.091
-5.079,0.925,8.484,13.228
-4.941,0.768,8.602,13.091
-4.941,0.768,6.9879999999999995,13.091
-5.079,0.925,8.484,13.228
-4.941,0.768,8.346,13.091
-5.079,0.925,7.362,13.228
-5.079,0.925,8.484,13.228
-5.079,0.925,8.484,13.228
-5.079,1.063,8.484,13.228
-5.079,0.925,8.484,13.228
-4.941,0.768,8.327,13.091
-5.079,0.925,8.484,13.228
-4.803,0.925,7.854,13.228
-4.941,1.3780000000000001,8.602,13.091
-4.803,0.925,8.484,13.228
-5.079,0.925,8.484,13.228
-5.2170000000000005,1.063,8.622,13.366
-5.354,0.925,7.362,13.228
-8.465,0.925,8.484,13.228
-8.878,1.063,8.327,13.091
-7.343,0.925,6.398,13.228
-5.079,0.925,8.484,13.228
-4.941,1.063,8.327,13.366
-5.079,0.925,8.484,13.228
-4.941,1.063,8.622,13.091
-4.941,1.063,8.622,13.091
-4.803,1.004,8.484,13.228
-4.941,1.063,7.165,13.366
-4.941,1.063,8.346,13.366
-5.079,0.925,8.484,15.767999999999999
-4.941,1.063,6.1610000000000005,13.366
-4.941,1.063,8.622,13.366
-4.803,0.925,8.484,13.228
-4.941,1.063,8.327,13.366
-4.941,1.063,8.622,13.366
-5.079,0.925,8.484,13.228
-4.941,1.063,8.622,13.366
-4.941,1.063,8.622,13.366
-4.803,0.925,8.484,13.228
-4.941,1.063,4.98,13.366
-4.646,1.063,8.622,13.366
-4.803,0.925,8.484,13.228
-4.646,1.063,8.622,13.366
-4.646,1.063,8.622,13.366
-5.65,0.925,8.484,13.228
-4.646,1.063,8.622,13.366
-4.803,0.925,8.74,13.228
-4.803,0.925,7.362,13.228
-4.646,1.063,7.067,13.366
-4.803,0.925,8.74,13.228
-4.508,1.2009999999999998,8.74,13.504000000000001
-4.646,1.063,8.622,13.366
-4.508,1.2009999999999998,7.362,13.504000000000001
-4.803,1.2009999999999998,8.76,13.504000000000001
-4.646,1.063,8.622,13.366
-4.803,0.925,8.76,13.504000000000001
-4.803,0.925,8.76,13.504000000000001
-4.941,1.063,8.622,13.366
-4.803,1.2009999999999998,7.185,13.504000000000001
-4.803,1.2009999999999998,8.76,13.504000000000001
-4.941,1.063,8.622,13.366
-4.803,1.2009999999999998,8.76,13.504000000000001
-4.803,1.2009999999999998,8.76,13.504000000000001
-4.646,1.063,8.622,13.366
-4.803,0.925,8.76,13.504000000000001
-4.803,0.925,8.76,13.504000000000001
-4.646,1.063,8.622,13.937000000000001
-4.803,1.2009999999999998,8.76,16.043
-8.031,1.063,8.622,13.366
-4.646,1.063,8.622,13.366
-4.803,1.2009999999999998,8.76,13.504000000000001
-4.941,1.063,8.622,13.366
-5.492000000000001,1.063,8.622,13.366
-5.079,1.2009999999999998,8.76,13.504000000000001
-4.646,1.063,8.622,13.366
-4.646,1.063,8.622,15.059000000000001
-4.803,1.2009999999999998,8.76,13.504000000000001
-8.878,1.063,8.622,13.366
-4.646,1.063,8.622,13.366
-4.803,1.2009999999999998,8.76,13.504000000000001
-4.646,1.063,8.622,13.642000000000001
-4.646,1.063,8.622,13.642000000000001
-4.803,1.22,8.76,13.504000000000001
-4.803,1.2009999999999998,8.76,13.504000000000001
-4.941,1.063,8.898,13.642000000000001
-4.803,1.2009999999999998,8.76,13.504000000000001
-4.646,1.063,8.898,13.642000000000001
-8.74,1.2009999999999998,8.76,13.504000000000001
-4.803,1.2009999999999998,8.76,13.504000000000001
-4.646,1.063,8.898,13.366
-4.803,1.535,7.952999999999999,13.524000000000001
-4.803,1.2009999999999998,8.76,13.504000000000001
-4.646,1.3780000000000001,8.622,13.642000000000001
-5.65,1.2009999999999998,8.76,13.504000000000001
-4.803,1.516,8.76,13.504000000000001
-4.941,1.063,8.622,13.642000000000001
-4.803,1.22,8.76,13.524000000000001
-4.803,1.2009999999999998,6.496,13.504000000000001
-5.2170000000000005,1.063,8.091000000000001,13.386
-4.941,1.063,8.898,13.386
-4.803,1.7719999999999998,8.76,13.248
-4.941,1.063,7.894,13.661
-4.803,1.2009999999999998,8.76,13.248
-4.803,1.2009999999999998,8.76,13.248
-4.941,1.063,8.622,13.386
-5.079,1.22,8.76,13.248
-4.803,1.181,8.76,13.248
-4.941,1.063,8.622,13.386
-5.354,0.925,7.441,13.524000000000001
-5.2170000000000005,1.063,8.622,13.386
-8.327,1.063,8.091000000000001,13.386
-5.354,1.2009999999999998,8.76,15.767999999999999
-5.2170000000000005,1.063,8.622,13.386
-5.2170000000000005,1.063,8.622,13.386
-5.354,0.6890000000000001,7.776,13.524000000000001
-8.878,1.063,8.622,14.508
-5.2170000000000005,1.063,8.622,13.386
-5.354,0.925,8.76,13.248
-5.2170000000000005,1.063,8.622,13.386
-5.2170000000000005,1.063,8.622,13.386
-5.079,1.22,8.76,13.248
-8.602,1.673,8.622,13.386
-8.602,1.063,8.622,13.386
-5.354,1.3780000000000001,8.76,13.248
-5.492000000000001,1.063,8.622,13.386
-5.2170000000000005,1.063,8.622,13.386
-5.354,0.925,8.504,13.524000000000001
-6.3389999999999995,0.807,7.657,13.386
-5.354,0.925,8.504,13.524000000000001
-6.2010000000000005,0.925,8.504,13.248
-6.3389999999999995,1.063,8.622,13.386
-6.2010000000000005,0.925,8.76,13.524000000000001
-4.803,0.925,8.504,13.524000000000001
-5.787000000000001,1.063,8.622,13.386
-4.803,0.925,8.74,13.524000000000001
-5.65,0.925,8.74,13.524000000000001
-4.941,1.063,8.622,13.937000000000001
-5.925,0.925,8.504,13.524000000000001
-4.803,0.925,8.484,14.094000000000001
-4.941,1.063,8.622,13.386
-4.803,0.925,8.74,14.094000000000001
-4.803,0.925,8.484,13.524000000000001
-4.941,1.4169999999999998,8.622,13.386
-4.941,1.063,8.622,13.386
-4.803,0.925,8.504,13.799000000000001
-4.941,1.063,8.622,13.661
-4.803,1.22,8.504,14.094000000000001
-4.803,1.24,8.76,13.524000000000001
-4.941,1.063,8.622,13.661
-5.079,0.925,8.504,13.524000000000001
