P1,P2,P3,P4
-10.097999999999999,-4.291,4.35,9.213
-10.236,-4.154,4.232,9.35
-10.097999999999999,-3.9960000000000004,4.075,9.783
-10.236,-4.154,4.232,9.35
-10.097999999999999,-3.9960000000000004,4.075,9.488
-9.961,-4.154,4.232,9.35
-10.097999999999999,-3.9960000000000004,4.35,9.488
-9.961,-4.154,4.232,9.35
-10.097999999999999,-3.9960000000000004,4.35,9.488
-10.236,-4.154,4.232,9.35
-10.097999999999999,-3.9960000000000004,4.37,9.213
-9.961,-4.154,4.232,9.35
-10.097999999999999,-3.9960000000000004,4.37,9.488
-9.961,-4.154,4.232,9.35
-10.097999999999999,-3.9960000000000004,4.37,9.488
-9.961,-4.154,4.232,9.35
-10.097999999999999,-3.9960000000000004,4.37,9.488
-9.961,-4.154,4.232,9.35
-10.097999999999999,-3.9960000000000004,4.37,9.213
-9.961,-4.154,4.232,9.35
-10.097999999999999,-3.9960000000000004,4.37,9.213
-9.961,-4.154,4.232,9.35
-10.097999999999999,-3.9960000000000004,4.37,9.488
-9.961,-4.154,4.232,9.35
-10.097999999999999,-3.9960000000000004,4.331,9.488
-9.961,-4.154,4.232,9.35
-10.097999999999999,-3.9960000000000004,4.37,9.488
-9.961,-4.154,4.232,9.35
-10.097999999999999,-3.9960000000000004,4.37,9.488
-9.961,-4.154,4.232,9.35
-10.097999999999999,-3.9960000000000004,4.37,9.488
-9.961,-4.154,4.232,9.35
-10.097999999999999,-3.9960000000000004,4.37,9.488
-9.961,-4.154,4.232,9.35
-9.823,-3.9960000000000004,4.37,9.488
-9.961,-4.154,4.232,9.626
-10.097999999999999,-4.291,4.37,9.783
-9.961,-4.154,4.232,9.626
-10.097999999999999,-4.291,4.37,9.783
-9.961,-4.154,4.232,9.626
-10.097999999999999,-3.9960000000000004,4.37,9.488
-9.961,-4.154,4.232,9.626
-10.097999999999999,-3.9960000000000004,4.37,9.488
-9.961,-4.154,4.232,10.197000000000001
-10.097999999999999,-4.291,4.37,10.059
-9.961,-4.154,4.232,9.626
-10.097999999999999,-4.291,4.37,9.488
-9.961,-4.154,4.232,9.626
-10.097999999999999,-4.291,4.37,9.783
-9.961,-4.154,4.232,9.626
-10.097999999999999,-3.9960000000000004,4.37,10.335
-9.961,-4.154,4.232,10.472000000000001
-10.097999999999999,-3.9960000000000004,4.37,10.059
-9.961,-4.154,4.232,9.921
-10.097999999999999,-3.9960000000000004,4.37,10.335
-9.961,-4.154,4.232,10.197000000000001
-10.097999999999999,-3.9960000000000004,4.37,10.335
-9.961,-4.154,4.232,10.472000000000001
-10.097999999999999,-4.291,4.37,10.335
-9.961,-4.154,4.232,10.472000000000001
-10.097999999999999,-4.291,4.37,10.61
-9.961,-4.154,4.232,10.748
-10.097999999999999,-4.291,4.37,10.886
-9.961,-4.154,4.232,11.043
-9.823,-3.9960000000000004,4.35,10.886
-9.961,-4.154,4.232,11.043
-10.097999999999999,-3.9960000000000004,4.075,10.61
-9.961,-4.154,4.232,10.472000000000001
-10.097999999999999,-3.9960000000000004,4.37,10.61
-9.961,-4.154,4.232,11.043
-10.097999999999999,-4.291,4.37,9.213
-9.961,-4.154,4.232,11.043
-10.097999999999999,-4.291,4.075,9.213
-9.961,-4.154,4.232,11.043
-9.823,-4.291,4.37,9.213
-9.961,-4.154,4.232,11.043
-9.823,-4.291,4.37,10.886
-9.961,-4.154,4.488,11.043
-10.097999999999999,-4.291,4.35,10.886
-9.961,-4.154,4.173,11.043
-10.097999999999999,-4.291,4.35,10.886
-9.961,-4.154,4.1930000000000005,10.472000000000001
-10.097999999999999,-4.291,4.331,10.61
-9.961,-4.154,4.232,9.35
-10.097999999999999,-4.291,4.35,10.61
-9.961,-4.154,4.213,9.35
-10.097999999999999,-4.291,4.331,9.488
-9.961,-4.154,4.213,9.35
-10.097999999999999,-4.291,4.35,11.181
-9.961,-4.154,4.232,9.35
-10.097999999999999,-4.291,4.37,11.181
-9.961,-4.154,4.232,11.043
-10.097999999999999,-4.291,4.37,9.213
-9.961,-4.154,4.232,11.043
-10.097999999999999,-4.291,4.37,10.886
-9.961,-4.154,4.232,10.748
-10.097999999999999,-4.291,4.37,9.213
-9.961,-4.154,4.232,9.921
-10.097999999999999,-4.291,4.37,10.059
-9.961,-4.154,4.232,10.748
-10.097999999999999,-4.291,4.37,9.213
-9.961,-4.154,4.232,9.921
-10.097999999999999,-4.291,4.35,10.886
-9.961,-4.154,4.173,9.35
-10.097999999999999,-4.291,4.35,9.213
-9.961,-4.154,4.232,9.35
-10.097999999999999,-4.291,4.37,9.213
-9.961,-4.154,4.232,9.35
-10.097999999999999,-4.291,4.075,9.488
-9.961,-4.154,4.232,9.35
-10.097999999999999,-4.291,4.075,9.488
-9.961,-4.154,4.232,9.35
-10.097999999999999,-4.291,4.37,9.488
-9.961,-4.154,4.232,9.35
-10.097999999999999,-4.291,4.37,10.886
-9.961,-4.154,4.232,9.35
-10.097999999999999,-4.291,4.37,10.61
-9.961,-4.154,4.232,10.748
-10.097999999999999,-3.9960000000000004,4.37,9.783
-9.961,-4.154,4.232,9.921
-10.097999999999999,-3.9960000000000004,4.37,9.783
-9.961,-4.154,4.232,9.626
-10.097999999999999,-4.291,4.37,10.335
-9.961,-4.154,4.232,9.921
-10.097999999999999,-4.291,4.37,9.783
-9.961,-4.154,4.232,9.35
